repo_name,file_path,method_name,start_line,end_line,function_coverage_percent
attrs,src/attr/_make.py,_make_init,2113,2189,38.96
attrs,src/attr/__init__.py,_make_getattr,75,131,47.37
attrs,src/attr/_cmp.py,cmp_using,13,99,33.33
attrs,src/attr/_make.py,_transform_attrs,494,600,39.25
attrs,src/attr/_make.py,_make_hash,1743,1811,50.72
attrs,src/attr/__init__.py,__getattr__,81,129,51.02
attrs,src/attr/_make.py,__init__,707,797,46.15
attrs,src/attr/_make.py,_create_slots_class,867,1011,41.38
itsdangerous,src/itsdangerous/timed.py,unsign,78,164,42.53
jinja2,src/jinja2/runtime.py,__call__,689,763,41.33
jinja2,src/jinja2/compiler.py,macro_body,611,692,63.41
jinja2,src/jinja2/utils.py,generate_lorem_ipsum,342,394,67.92
jinja2,src/jinja2/compiler.py,pop_assign_tracking,781,822,42.86
jinja2,src/jinja2/lexer.py,wrap,613,665,52.83
jinja2,src/jinja2/parser.py,parse_primary,646,678,90.91
jinja2,src/jinja2/utils.py,urlize,221,339,33.61
jinja2,src/jinja2/compiler.py,signature,481,536,33.93
jinja2,docs/examples/inline_gettext_extension.py,filter_stream,22,72,0.0
